id,construct,split,decoupling_axis,label,prompt,class_a_target,class_b_target,logit_diff,signed_logit_diff,correct,flag,notes
certainty_decoupling_contrast_005_class_b,certainty,decoupling,contrast,class_b,"The puzzle initially looked obvious, but after the contradiction it was", obvious, ambiguous,5.996954917907715,-5.996954917907715,False,strong_model_disagreement,
certainty_decoupling_format_shift_005_class_b,certainty,decoupling,format_shift,class_b,"Problem sheet
Without the answer key, the next step is", obvious, ambiguous,5.257821083068848,-5.257821083068848,False,strong_model_disagreement,
certainty_train_ordinary_002_class_b,certainty,train,ordinary,class_b,"With measurements varying across trials, the conclusion is", clear, unclear,5.225475311279297,-5.225475311279297,False,strong_model_disagreement,
certainty_decoupling_contrast_002_class_b,certainty,decoupling,contrast,class_b,"The opening paragraph sounded clear, but the appendix made the rule", clear, unclear,5.1038408279418945,-5.1038408279418945,False,strong_model_disagreement,
certainty_heldout_ordinary_010_class_b,certainty,heldout,ordinary,class_b,"With one premise unstated, the inference is", obvious, ambiguous,5.020306587219238,-5.020306587219238,False,strong_model_disagreement,
certainty_decoupling_negation_005_class_b,certainty,decoupling,negation,class_b,The solution was not obvious after the contradiction; it was, obvious, ambiguous,4.9258317947387695,-4.9258317947387695,False,strong_model_disagreement,
sentiment_decoupling_quotation_005_class_a,sentiment,decoupling,quotation,class_a,"The message repeated ""disappointing"", but the visit was", wonderful, disappointing,-4.65622091293335,-4.65622091293335,False,strong_model_disagreement,
certainty_decoupling_format_shift_002_class_b,certainty,decoupling,format_shift,class_b,"Evidence status: checks conflict
The conclusion is", clear, unclear,4.641802787780762,-4.641802787780762,False,strong_model_disagreement,
certainty_train_ordinary_012_class_b,certainty,train,ordinary,class_b,"The instructions allow several options, so the choice is", clear, unclear,4.366913795471191,-4.366913795471191,False,strong_model_disagreement,
certainty_decoupling_quotation_003_class_a,certainty,decoupling,quotation,class_a,"One blogger called the outcome ""doubtful"", but the official count made it", definite, doubtful,-4.169625282287598,-4.169625282287598,False,strong_model_disagreement,
certainty_decoupling_quotation_005_class_b,certainty,decoupling,quotation,class_b,"The article quoted the word ""obvious"", but the final diagram made it", obvious, ambiguous,4.136313438415527,-4.136313438415527,False,strong_model_disagreement,
sentiment_decoupling_format_shift_006_class_b,sentiment,decoupling,format_shift,class_b,"Product note: defects returned
Customer reaction:", great, terrible,4.077325820922852,-4.077325820922852,False,strong_model_disagreement,
certainty_heldout_ordinary_018_class_a,certainty,heldout,ordinary,class_a,"The committee published the final tally, so passage is", definite, doubtful,-4.051667213439941,-4.051667213439941,False,strong_model_disagreement,
certainty_decoupling_negation_002_class_b,certainty,decoupling,negation,class_b,The evidence was not clear; the conclusion became, clear, unclear,3.8119125366210938,-3.8119125366210938,False,strong_model_disagreement,
certainty_train_ordinary_017_class_b,certainty,train,ordinary,class_b,"The diagram labels two similar parts, so the answer is", clear, unclear,3.732333183288574,-3.732333183288574,False,strong_model_disagreement,
sentiment_train_ordinary_029_class_b,sentiment,train,ordinary,class_b,The damaged painting looked, amazing, poor,3.6981000900268555,-3.6981000900268555,False,strong_model_disagreement,
sentiment_decoupling_negation_005_class_a,sentiment,decoupling,negation,class_a,The party was not disappointing; it was, wonderful, disappointing,-3.491755485534668,-3.491755485534668,False,strong_model_disagreement,
certainty_heldout_ordinary_015_class_b,certainty,heldout,ordinary,class_b,"The route has two faded arrows, so the turn is", obvious, ambiguous,3.442746162414551,-3.442746162414551,False,strong_model_disagreement,
certainty_train_ordinary_030_class_b,certainty,train,ordinary,class_b,"With two answer keys disagreeing, the correction is", obvious, ambiguous,3.270928382873535,-3.270928382873535,False,strong_model_disagreement,
certainty_train_ordinary_024_class_b,certainty,train,ordinary,class_b,"With one backup still missing, the engineer sounded", confident, hesitant,3.1495676040649414,-3.1495676040649414,False,strong_model_disagreement,
sentiment_train_ordinary_009_class_b,sentiment,train,ordinary,class_b,The concert sound mix was, amazing, poor,2.91861629486084,-2.91861629486084,False,strong_model_disagreement,
certainty_decoupling_lexical_reversal_002_class_b,certainty,decoupling,lexical_reversal,class_b,"A headline called the answer ""clear"", but the details made it", clear, unclear,2.8259477615356445,-2.8259477615356445,False,strong_model_disagreement,
sentiment_heldout_ordinary_009_class_b,sentiment,heldout,ordinary,class_b,The soggy rooftop dinner was, amazing, poor,2.7896175384521484,-2.7896175384521484,False,strong_model_disagreement,
sentiment_heldout_ordinary_014_class_b,sentiment,heldout,ordinary,class_b,The muddy canyon hike was, amazing, poor,2.7774181365966797,-2.7774181365966797,False,strong_model_disagreement,
sentiment_decoupling_format_shift_003_class_b,sentiment,decoupling,format_shift,class_b,"Performance scorecard: sloppy and painful
Final rating:", excellent, awful,2.741701602935791,-2.741701602935791,False,strong_model_disagreement,
sentiment_train_ordinary_019_class_b,sentiment,train,ordinary,class_b,The stale breakfast buffet was, amazing, poor,2.7150211334228516,-2.7150211334228516,False,strong_model_disagreement,
sentiment_decoupling_format_shift_001_class_b,sentiment,decoupling,format_shift,class_b,"Review note: audience walked out
Final judgment:", great, terrible,2.676980495452881,-2.676980495452881,False,strong_model_disagreement,
sentiment_heldout_ordinary_011_class_b,sentiment,heldout,ordinary,class_b,The out-of-tune orchestra performance was, great, terrible,2.634603500366211,-2.634603500366211,False,strong_model_disagreement,
sentiment_train_ordinary_004_class_b,sentiment,train,ordinary,class_b,The blocked view from the room was, amazing, poor,2.617323875427246,-2.617323875427246,False,strong_model_disagreement,
sentiment_decoupling_format_shift_002_class_b,sentiment,decoupling,format_shift,class_b,"Meal log: stale ingredients
Overall quality:", good, bad,2.616436004638672,-2.616436004638672,False,strong_model_disagreement,
certainty_decoupling_format_shift_001_class_a,certainty,decoupling,format_shift,class_a,"Conclusion:
Evidence status: verified
Confidence level:", certain, uncertain,-2.5568504333496094,-2.5568504333496094,False,strong_model_disagreement,
certainty_decoupling_quotation_002_class_b,certainty,decoupling,quotation,class_b,"The rumor described the rule as ""clear"", but the statute made it", clear, unclear,2.495823860168457,-2.495823860168457,False,strong_model_disagreement,
sentiment_decoupling_contrast_004_class_b,sentiment,decoupling,contrast,class_b,"Although the photos looked amazing, the hike was", amazing, poor,2.481473922729492,-2.481473922729492,False,strong_model_disagreement,
sentiment_train_ordinary_015_class_b,sentiment,train,ordinary,class_b,The noisy garden was, wonderful, disappointing,2.4495277404785156,-2.4495277404785156,False,strong_model_disagreement,
certainty_train_ordinary_011_class_a,certainty,train,ordinary,class_a,"Once the security camera footage arrived, the identity was", certain, uncertain,-2.4137444496154785,-2.4137444496154785,False,strong_model_disagreement,
certainty_decoupling_lexical_reversal_005_class_a,certainty,decoupling,lexical_reversal,class_a,"The clue list uses the word ""ambiguous"", but the solved version is", obvious, ambiguous,-2.3324222564697266,-2.3324222564697266,False,strong_model_disagreement,
certainty_heldout_ordinary_005_class_b,certainty,heldout,ordinary,class_b,"The table omits the relevant row, so it is", obvious, ambiguous,2.171537399291992,-2.171537399291992,False,strong_model_disagreement,
sentiment_heldout_ordinary_002_class_b,sentiment,heldout,ordinary,class_b,The new distorted headphones sounded, good, bad,2.1562070846557617,-2.1562070846557617,False,strong_model_disagreement,
certainty_train_ordinary_003_class_a,certainty,train,ordinary,class_a,"Because the witness accounts match, the verdict seems", definite, doubtful,-2.041604995727539,-2.041604995727539,False,strong_model_disagreement,
sentiment_train_ordinary_027_class_b,sentiment,train,ordinary,class_b,The cold lunch special was, good, bad,1.9970455169677734,-1.9970455169677734,False,strong_model_disagreement,
sentiment_train_ordinary_011_class_b,sentiment,train,ordinary,class_b,The burnt dessert after dinner tasted, great, terrible,1.9342517852783203,-1.9342517852783203,False,strong_model_disagreement,
sentiment_decoupling_contrast_004_class_a,sentiment,decoupling,contrast,class_a,"Although the forecast looked poor, the hike was", amazing, poor,-1.9291534423828125,-1.9291534423828125,False,strong_model_disagreement,
certainty_train_ordinary_007_class_b,certainty,train,ordinary,class_b,"The contract gives two possible deadlines, so the rule is", clear, unclear,1.8267669677734375,-1.8267669677734375,False,strong_model_disagreement,
certainty_train_ordinary_027_class_b,certainty,train,ordinary,class_b,"The recipe says to season to taste, so the measurement is", clear, unclear,1.78639554977417,-1.78639554977417,False,strong_model_disagreement,
certainty_train_ordinary_014_class_b,certainty,train,ordinary,class_b,"After the final audit raised questions, the manager sounded", confident, hesitant,1.7398195266723633,-1.7398195266723633,False,strong_model_disagreement,
sentiment_heldout_ordinary_016_class_b,sentiment,heldout,ordinary,class_b,The overhyped restaurant was, great, terrible,1.6719303131103516,-1.6719303131103516,False,strong_model_disagreement,
sentiment_decoupling_negation_004_class_b,sentiment,decoupling,negation,class_b,The view was not amazing; it was, amazing, poor,1.6642513275146484,-1.6642513275146484,False,strong_model_disagreement,
sentiment_train_ordinary_001_class_b,sentiment,train,ordinary,class_b,"After the clumsy final scene, the movie felt", great, terrible,1.6505603790283203,-1.6505603790283203,False,strong_model_disagreement,
sentiment_decoupling_contrast_002_class_b,sentiment,decoupling,contrast,class_b,"Although the menu looked good, dinner was", good, bad,1.6356592178344727,-1.6356592178344727,False,strong_model_disagreement,
sentiment_decoupling_quotation_003_class_a,sentiment,decoupling,quotation,class_a,"The poster quoted ""awful"", but the actual play was", excellent, awful,-1.5854253768920898,-1.5854253768920898,False,strong_model_disagreement,
certainty_decoupling_negation_006_class_b,certainty,decoupling,negation,class_b,The answer was not sure anymore; by the end it was, certain, uncertain,1.5766639709472656,-1.5766639709472656,False,strong_model_disagreement,
sentiment_heldout_ordinary_013_class_b,sentiment,heldout,ordinary,class_b,The chaotic final presentation was, excellent, awful,1.571925163269043,-1.571925163269043,False,strong_model_disagreement,
certainty_heldout_ordinary_007_class_b,certainty,heldout,ordinary,class_b,"The policy lists overlapping exceptions, so the decision is", clear, unclear,1.5322580337524414,-1.5322580337524414,False,strong_model_disagreement,
certainty_decoupling_negation_003_class_a,certainty,decoupling,negation,class_a,The ruling was not doubtful once the record arrived; it was, definite, doubtful,-1.5106086730957031,-1.5106086730957031,False,strong_model_disagreement,
sentiment_heldout_ordinary_005_class_a,sentiment,heldout,ordinary,class_a,The handwritten note was, wonderful, disappointing,-1.4832868576049805,-1.4832868576049805,False,strong_model_disagreement,
certainty_train_ordinary_020_class_b,certainty,train,ordinary,class_b,"After the bug appeared only once, the cause looked", obvious, ambiguous,1.4822683334350586,-1.4822683334350586,False,strong_model_disagreement,
sentiment_decoupling_lexical_reversal_006_class_a,sentiment,decoupling,lexical_reversal,class_a,"The headline used ""terrible"", but the actual review called it", great, terrible,-1.4649906158447266,-1.4649906158447266,False,strong_model_disagreement,
sentiment_decoupling_lexical_reversal_006_class_b,sentiment,decoupling,lexical_reversal,class_b,"The headline used ""great"", but the actual review called it", great, terrible,1.4619321823120117,-1.4619321823120117,False,strong_model_disagreement,
sentiment_heldout_ordinary_004_class_b,sentiment,heldout,ordinary,class_b,The obstructed fireworks show was, amazing, poor,1.431319236755371,-1.431319236755371,False,strong_model_disagreement,
certainty_train_ordinary_022_class_b,certainty,train,ordinary,class_b,"The survey question can be read two ways, so the meaning is", clear, unclear,1.4213647842407227,-1.4213647842407227,False,strong_model_disagreement,
certainty_heldout_ordinary_017_class_a,certainty,heldout,ordinary,class_a,"The note identifies the author by name, so authorship is", clear, unclear,-1.4035911560058594,-1.4035911560058594,False,strong_model_disagreement,
sentiment_heldout_ordinary_001_class_b,sentiment,heldout,ordinary,class_b,The misleading documentary was, great, terrible,1.3232107162475586,-1.3232107162475586,False,strong_model_disagreement,
sentiment_decoupling_lexical_reversal_004_class_b,sentiment,decoupling,lexical_reversal,class_b,"Someone joked it would be ""amazing"", but the view was", amazing, poor,1.3152999877929688,-1.3152999877929688,False,strong_model_disagreement,
sentiment_decoupling_contrast_003_class_a,sentiment,decoupling,contrast,class_a,"Although early comments called it awful, the concert was", excellent, awful,-1.274984359741211,-1.274984359741211,False,strong_model_disagreement,
certainty_heldout_ordinary_004_class_b,certainty,heldout,ordinary,class_b,"Waiting for the approval letter, the applicant sounded", confident, hesitant,1.2494144439697266,-1.2494144439697266,False,strong_model_disagreement,
certainty_decoupling_quotation_004_class_b,certainty,decoupling,quotation,class_b,"The minutes quoted a ""confident"" observer, but the lead analyst sounded", confident, hesitant,1.2176790237426758,-1.2176790237426758,False,strong_model_disagreement,
certainty_decoupling_lexical_reversal_004_class_b,certainty,decoupling,lexical_reversal,class_b,"The transcript says someone was ""confident"", but the final speaker sounded", confident, hesitant,1.1260623931884766,-1.1260623931884766,False,strong_model_disagreement,
sentiment_decoupling_contrast_005_class_a,sentiment,decoupling,contrast,class_a,"Although the email predicted disappointment, the evening was", wonderful, disappointing,-1.1049585342407227,-1.1049585342407227,False,strong_model_disagreement,
sentiment_train_ordinary_021_class_b,sentiment,train,ordinary,class_b,The incoherent ending of the novel was, great, terrible,1.0893535614013672,-1.0893535614013672,False,strong_model_disagreement,
certainty_train_ordinary_019_class_b,certainty,train,ordinary,class_b,"Without the exact quote in front of her, the editor sounded", confident, hesitant,1.0517683029174805,-1.0517683029174805,False,strong_model_disagreement,
sentiment_train_ordinary_012_class_b,sentiment,train,ordinary,class_b,The rushed chapter was, good, bad,1.0494661331176758,-1.0494661331176758,False,strong_model_disagreement,
certainty_heldout_ordinary_008_class_a,certainty,heldout,ordinary,class_a,"The referee saw the replay, so the call became", definite, doubtful,-1.0443072319030762,-1.0443072319030762,False,strong_model_disagreement,
certainty_heldout_ordinary_013_class_a,certainty,heldout,ordinary,class_a,"The judge issued a final ruling, so the matter is", definite, doubtful,-1.030477523803711,-1.030477523803711,False,strong_model_disagreement,
sentiment_train_ordinary_017_class_b,sentiment,train,ordinary,class_b,The cracked replacement part was, good, bad,1.0287065505981445,-1.0287065505981445,False,strong_model_disagreement,
sentiment_train_ordinary_028_class_b,sentiment,train,ordinary,class_b,The absent customer support was, excellent, awful,0.09032440185546875,-0.09032440185546875,False,weak_margin_check_design,
sentiment_decoupling_quotation_006_class_b,sentiment,decoupling,quotation,class_b,"The ad repeated the word ""great"", but the meal was", great, terrible,0.08135700225830078,-0.08135700225830078,False,weak_margin_check_design,
certainty_decoupling_quotation_006_class_b,certainty,decoupling,quotation,class_b,"The email repeated someone else saying ""sure"", but the author was", certain, uncertain,0.018021583557128906,-0.018021583557128906,False,weak_margin_check_design,
certainty_train_ordinary_018_class_a,certainty,train,ordinary,class_a,"The vote count is complete, so the outcome is", definite, doubtful,-0.008150100708007812,-0.008150100708007812,False,weak_margin_check_design,
certainty_train_ordinary_013_class_a,certainty,train,ordinary,class_a,"The court order fixes the boundary, so ownership is", definite, doubtful,0.010222434997558594,0.010222434997558594,True,weak_margin_check_design,
certainty_decoupling_format_shift_006_class_b,certainty,decoupling,format_shift,class_b,"Audit log: unresolved discrepancy
Result:", certain, uncertain,-0.014193534851074219,0.014193534851074219,True,weak_margin_check_design,
certainty_train_ordinary_009_class_b,certainty,train,ordinary,class_b,The navigator lost the landmark and sounded, confident, hesitant,-0.04801177978515625,0.04801177978515625,True,weak_margin_check_design,
sentiment_train_ordinary_014_class_a,sentiment,train,ordinary,class_a,The guide's knowledge was, amazing, poor,0.06869220733642578,0.06869220733642578,True,weak_margin_check_design,
